|Date|Data Source|Model|Epochs|Batch Size|Learning Rate|Max Accuracy|Min Loss|Time (s)|Training Samples|Test Samples|
|2016-12-28 21:23:56.023956|data_greyscale_rotate|LeNet|11|256|0.001|0.9793|0.0483|89.6|94101|23526|
|2016-12-28 21:53:47.703829|data_greyscale_rotate|multiscale1|10|128|0.001|0.9791|0.0319|97.5|94101|23526|
|2016-12-28 13:27:49.883531|data_yuv_rotate|LeNet_dropout|14|256|0.001|0.9784|0.0775|174|94101|23526|
|2016-12-28 21:33:56.411145|data_greyscale_rotate|LeNet_dropout|12|128|0.001|0.9769|0.116|118|94101|23526|
|2016-12-29 06:28:43.131337|data_greyscale_rotate|inception2|9|256|0.001|0.9769|0.104|309|94101|23526|
|2016-12-28 13:09:19.425577|data_yuv_rotate|LeNet|17|384|0.0005|0.9768|0.034|195|94101|23526|
|2016-12-28 22:03:55.322411|data_greyscale_rotate|multiscale1|9|384|0.001|0.975|0.169|74|94101|23526|
|2016-12-28 21:55:16.964759|data_greyscale_rotate|multiscale1|9|128|0.0005|0.9746|0.0953|89.2|94101|23526|
|2016-12-28 22:00:27.958019|data_greyscale_rotate|multiscale1|11|256|0.0005|0.974|0.121|90.6|94101|23526|
|2016-12-28 13:42:16.280155|data_yuv_rotate|LeNet_dropout|18|384|0.001|0.9731|0.0887|212|94101|23526|
|2016-12-28 21:35:45.507734|data_greyscale_rotate|LeNet_dropout|11|128|0.0005|0.9727|0.0832|109|94101|23526|
|2016-12-28 12:56:33.040563|data_yuv_rotate|LeNet|8|256|0.001|0.9725|0.078|105|94101|23526|
|2016-12-28 21:18:46.960575|data_greyscale_rotate|LeNet|6|128|0.001|0.9722|0.0504|63.8|94101|23526|
|2016-12-28 13:15:34.011718|data_yuv_rotate|LeNet_dropout|11|128|0.001|0.972|0.135|160|94101|23526|
|2016-12-28 13:58:07.546892|data_yuv_rotate|multiscale1|12|128|0.0005|0.9716|0.0582|169|94101|23526|
|2016-12-28 14:57:56.938738|data_yuv_rotate|inception2|9|128|0.0005|0.9713|0.199|615|94101|23526|
|2016-12-28 21:46:31.610362|data_greyscale_rotate|LeNet_dropout|10|384|0.001|0.9713|0.194|82.1|94101|23526|
|2016-12-28 13:32:28.107745|data_yuv_rotate|LeNet_dropout|19|256|0.0005|0.9696|0.131|278|94101|23526|
|2016-12-28 21:39:51.500948|data_greyscale_rotate|LeNet_dropout|11|256|0.001|0.9687|0.14|93|94101|23526|
|2016-12-28 17:25:28.395542|data_yuv|LeNet_dropout|30|384|0.001|0.9677|0.0604|105|31367|7842|
|2016-12-28 16:03:53.921058|data_yuv_rotate|inception2|13|128|0.0001|0.9674|0.3|852|94101|23526|
|2016-12-28 15:49:41.570041|data_yuv_rotate|inception2|8|128|0.0005|0.9672|0.0615|525|94101|23526|
|2016-12-28 14:09:18.953138|data_yuv_rotate|multiscale1|10|256|0.0005|0.967|0.141|129|94101|23526|
|2016-12-28 21:28:27.477455|data_greyscale_rotate|LeNet|8|384|0.001|0.967|0.188|65.5|94101|23526|
|2016-12-28 21:58:57.271641|data_greyscale_rotate|multiscale1|6|256|0.001|0.9666|0.142|55.4|94101|23526|
|2016-12-29 06:14:33.169607|data_greyscale_rotate|inception2|6|128|0.001|0.9665|0.0781|241|94101|23526|
|2016-12-28 12:54:47.985070|data_yuv_rotate|LeNet|17|128|0.0001|0.9664|0.0296|251|94101|23526|
|2016-12-28 17:04:30.305470|data_yuv|LeNet|8|128|0.001|0.9653|0.223|36.8|31367|7842|
|2016-12-28 13:55:18.018832|data_yuv_rotate|multiscale1|6|128|0.001|0.9651|0.0897|94.7|94101|23526|
|2016-12-28 12:49:16.326896|data_yuv_rotate|LeNet|5|128|0.001|0.9648|0.234|108|94101|23526|
|2016-12-28 17:10:51.728688|data_yuv|LeNet|11|384|0.001|0.9631|0.0602|41.5|31367|7842|
|2016-12-28 21:41:24.497566|data_greyscale_rotate|LeNet_dropout|11|256|0.0005|0.9629|0.154|93|94101|23526|
|2016-12-28 15:40:56.658914|data_yuv_rotate|inception2|5|128|0.001|0.9626|0.105|335|94101|23526|
|2016-12-29 06:17:59.941392|data_greyscale_rotate|inception2|5|128|0.0005|0.9626|0.0544|207|94101|23526|
|2016-12-28 12:50:36.496261|data_yuv_rotate|LeNet|5|128|0.0005|0.9614|0.0786|80|94101|23526|
|2016-12-28 17:34:25.628865|data_yuv|multiscale1|18|256|0.001|0.9611|0.229|68.8|31367|7842|
|2016-12-28 12:42:45.589573|data|inception2|15|384|0.001|0.9602|0.121|292|31367|7842|
|2016-12-28 21:25:17.444118|data_greyscale_rotate|LeNet|10|256|0.0005|0.9598|0.102|81.4|94101|23526|
|2016-12-28 13:19:02.931248|data_yuv_rotate|LeNet_dropout|11|128|0.0005|0.9594|0.149|209|94101|23526|
|2016-12-28 14:47:41.540665|data_yuv_rotate|inception2|6|128|0.001|0.9592|0.235|424|94101|23526|
|2016-12-28 13:04:53.624131|data_yuv_rotate|LeNet|27|256|0.0001|0.959|0.3|358|94101|23526|
|2016-12-28 16:11:56.371684|data_yuv_rotate|inception2|8|256|0.001|0.959|0.124|482|94101|23526|
|2016-12-28 21:48:08.039647|data_greyscale_rotate|LeNet_dropout|12|384|0.0005|0.9584|0.149|96.4|94101|23526|
|2016-12-28 12:58:55.722333|data_yuv_rotate|LeNet|8|256|0.0005|0.9583|0.246|143|94101|23526|
|2016-12-28 13:45:50.537330|data_yuv_rotate|LeNet_dropout|18|384|0.0005|0.9582|0.132|214|94101|23526|
|2016-12-28 14:07:09.678925|data_yuv_rotate|multiscale1|11|256|0.001|0.9578|0.154|173|94101|23526|
|2016-12-29 06:32:19.813649|data_greyscale_rotate|inception2|6|256|0.0005|0.9574|0.154|217|94101|23526|
|2016-12-28 14:19:02.441325|data_yuv_rotate|multiscale1|9|384|0.001|0.957|0.126|115|94101|23526|
|2016-12-28 22:05:03.069509|data_greyscale_rotate|multiscale1|8|384|0.0005|0.9566|0.116|67.7|94101|23526|
|2016-12-29 06:43:13.833207|data_greyscale_rotate|inception2|5|384|0.001|0.9566|0.367|179|94101|23526|
|2016-12-28 14:04:16.339062|data_yuv_rotate|multiscale1|28|128|0.0001|0.9563|0.171|369|94101|23526|
|2016-12-28 17:14:58.678377|data_yuv|LeNet_dropout|11|128|0.001|0.9559|0.193|47.7|31367|7842|
|2016-12-28 17:39:48.697251|data_yuv|multiscale1|15|384|0.001|0.9543|0.111|58.4|31367|7842|
|2016-12-28 21:29:46.216494|data_greyscale_rotate|LeNet|10|384|0.0005|0.9543|0.138|78.7|94101|23526|
|2016-12-28 18:34:12.587577|data_greyscale|LeNet_dropout|23|128|0.0005|0.954|0.268|71.9|31367|7842|
|2016-12-28 11:42:00.644688|data|LeNet|15|256|0.0005|0.9538|0.421|51.1|31367|7842|
|2016-12-28 18:39:35.436605|data_greyscale|LeNet_dropout|26|384|0.001|0.9536|0.184|67.5|31367|7842|
|2016-12-28 17:35:51.866388|data_yuv|multiscale1|23|256|0.0005|0.9532|0.0457|86.2|31367|7842|
|2016-12-28 18:45:25.081996|data_greyscale|multiscale1|13|256|0.001|0.9531|0.153|39.4|31367|7842|
|2016-12-28 21:19:40.839062|data_greyscale_rotate|LeNet|5|128|0.0005|0.953|0.0959|53.9|94101|23526|
|2016-12-28 13:06:04.123990|data_yuv_rotate|LeNet|5|384|0.001|0.9524|0.155|70.4|94101|23526|
|2016-12-28 16:57:34.085111|data_yuv_rotate|inception2|14|384|0.0001|0.9522|0.205|847|94101|23526|
|2016-12-28 18:27:44.855972|data_greyscale|LeNet|13|256|0.0005|0.9518|0.529|37.5|31367|7842|
|2016-12-28 21:22:26.423177|data_greyscale_rotate|LeNet|18|128|0.0001|0.9517|0.224|166|94101|23526|
|2016-12-28 17:50:32.175938|data_yuv|inception2|7|128|0.0005|0.9505|0.29|161|31367|7842|
|2016-12-28 18:33:00.598716|data_greyscale|LeNet_dropout|14|128|0.001|0.9501|0.0586|46.5|31367|7842|
|2016-12-28 18:26:39.493758|data_greyscale|LeNet|29|128|0.0001|0.948|0.0989|84.9|31367|7842|
|2016-12-29 06:40:14.688799|data_greyscale_rotate|inception2|13|256|0.0001|0.9479|0.165|475|94101|23526|
|2016-12-28 18:25:14.498567|data_greyscale|LeNet|11|128|0.0005|0.9468|0.184|37|31367|7842|
|2016-12-28 11:38:22.482156|data|LeNet|11|128|0.0005|0.9463|0.243|44|31367|7842|
|2016-12-28 17:30:56.088528|data_yuv|multiscale1|23|128|0.0005|0.9459|0.0492|95.1|31367|7842|
|2016-12-28 21:58:01.860776|data_greyscale_rotate|multiscale1|18|128|0.0001|0.9452|0.158|165|94101|23526|
|2016-12-29 06:46:49.059147|data_greyscale_rotate|inception2|6|384|0.0005|0.9445|0.211|215|94101|23526|
|2016-12-28 22:08:11.842830|data_greyscale_rotate|multiscale1|26|384|0.0001|0.9441|0.167|189|94101|23526|
|2016-12-28 14:40:37.621001|data_yuv_rotate|multiscale1|34|384|0.0001|0.9435|0.152|1180|94101|23526|
|2016-12-28 21:45:09.499349|data_greyscale_rotate|LeNet_dropout|29|256|0.0001|0.9428|0.173|225|94101|23526|
|2016-12-28 17:57:44.977505|data_yuv|inception2|11|256|0.001|0.9427|0.31|228|31367|7842|
|2016-12-28 17:27:03.984641|data_yuv|LeNet_dropout|27|384|0.0005|0.9424|0.236|95.6|31367|7842|
|2016-12-28 14:20:58.148409|data_yuv_rotate|multiscale1|9|384|0.0005|0.9418|0.286|116|94101|23526|
|2016-12-28 14:17:07.108923|data_yuv_rotate|multiscale1|32|256|0.0001|0.9417|0.21|468|94101|23526|
|2016-12-29 06:23:34.391980|data_greyscale_rotate|inception2|8|128|0.0001|0.9414|0.16|334|94101|23526|
|2016-12-28 18:36:25.085514|data_greyscale|LeNet_dropout|18|256|0.001|0.941|0.246|51.7|31367|7842|
|2016-12-28 11:40:25.835393|data|LeNet|31|128|0.0001|0.9408|0.598|123|31367|7842|
|2016-12-28 11:41:09.556918|data|LeNet|13|256|0.001|0.9402|0.201|43.7|31367|7842|
|2016-12-28 16:32:15.117819|data_yuv_rotate|inception2|13|256|0.0001|0.9399|0.247|789|94101|23526|
|2016-12-28 17:29:20.968844|data_yuv|multiscale1|12|128|0.001|0.9399|0.047|54|31367|7842|
|2016-12-28 17:05:06.228359|data_yuv|LeNet|8|128|0.0005|0.9394|0.016|35.9|31367|7842|
|2016-12-28 18:17:33.459295|data_yuv|inception2|16|384|0.0005|0.9394|0.354|323|31367|7842|
|2016-12-28 17:11:36.580774|data_yuv|LeNet|12|384|0.0005|0.9393|0.121|44.8|31367|7842|
|2016-12-28 18:29:32.812727|data_greyscale|LeNet|43|256|0.0001|0.9392|0.201|108|31367|7842|
|2016-12-28 18:12:10.487474|data_yuv|inception2|8|384|0.001|0.938|0.228|165|31367|7842|
|2016-12-28 17:20:21.892756|data_yuv|LeNet_dropout|17|256|0.001|0.9379|0.266|64.8|31367|7842|
|2016-12-28 12:07:42.201220|data|multiscale1|18|256|0.001|0.9369|0.299|62|31367|7842|
|2016-12-28 18:27:07.281341|data_greyscale|LeNet|9|256|0.001|0.9364|0.268|27.7|31367|7842|
|2016-12-28 17:07:04.447400|data_yuv|LeNet|8|256|0.001|0.936|0.184|33.3|31367|7842|
|2016-12-28 12:01:49.599532|data|multiscale1|15|128|0.001|0.9348|0.0888|61.9|31367|7842|
|2016-12-28 18:30:34.655886|data_greyscale|LeNet|13|384|0.0005|0.9342|0.169|36.4|31367|7842|
|2016-12-28 18:01:14.148983|data_yuv|inception2|10|256|0.0005|0.9332|0.204|209|31367|7842|
|2016-12-28 12:09:03.614470|data|multiscale1|24|256|0.0005|0.932|0.232|81.4|31367|7842|
|2016-12-28 13:12:53.683640|data_yuv_rotate|LeNet|18|384|0.0001|0.9317|0.132|214|94101|23526|
|2016-12-28 22:02:41.245654|data_greyscale_rotate|multiscale1|17|256|0.0001|0.9316|0.358|133|94101|23526|
|2016-12-28 17:06:31.183569|data_yuv|LeNet|21|128|0.0001|0.9311|0.158|84.9|31367|7842|
|2016-12-28 17:47:50.881548|data_yuv|inception2|10|128|0.001|0.9311|0.199|225|31367|7842|
|2016-12-28 18:40:45.800779|data_greyscale|LeNet_dropout|27|384|0.0005|0.931|0.266|70.2|31367|7842|
|2016-12-28 17:41:10.333045|data_yuv|multiscale1|22|384|0.0005|0.9308|0.362|81.6|31367|7842|
|2016-12-28 11:53:43.206266|data|LeNet_dropout|20|256|0.001|0.9305|0.3|69.5|31367|7842|
|2016-12-28 12:10:31.727157|data|multiscale1|23|384|0.001|0.9287|0.436|75.1|31367|7842|
|2016-12-28 17:07:41.215118|data_yuv|LeNet|9|256|0.0005|0.9283|0.213|36.8|31367|7842|
|2016-12-28 18:41:36.772675|data_greyscale|multiscale1|9|128|0.001|0.9267|0.209|32.9|31367|7842|
|2016-12-28 18:29:58.126995|data_greyscale|LeNet|8|384|0.001|0.9253|0.194|25.2|31367|7842|
|2016-12-28 17:10:10.195767|data_yuv|LeNet|42|256|0.0001|0.9235|0.234|149|31367|7842|
|2016-12-28 18:47:34.112490|data_greyscale|multiscale1|16|384|0.001|0.9231|0.253|44.6|31367|7842|
|2016-12-28 21:52:10.176653|data_greyscale_rotate|LeNet_dropout|33|384|0.0001|0.9231|0.289|242|94101|23526|
|2016-12-28 17:21:43.372881|data_yuv|LeNet_dropout|22|256|0.0005|0.9229|0.239|81.5|31367|7842|
|2016-12-28 17:14:10.923192|data_yuv|LeNet|46|384|0.0001|0.9225|0.269|154|31367|7842|
|2016-12-28 16:19:05.697416|data_yuv_rotate|inception2|7|256|0.0005|0.9224|0.228|429|94101|23526|
|2016-12-28 21:38:18.513094|data_greyscale_rotate|LeNet_dropout|16|128|0.0001|0.9218|0.27|153|94101|23526|
|2016-12-28 11:44:38.572786|data|LeNet|15|384|0.001|0.9217|0.32|50.3|31367|7842|
|2016-12-28 13:24:55.535866|data_yuv_rotate|LeNet_dropout|23|128|0.0001|0.92|0.349|352|94101|23526|
|2016-12-28 18:48:50.589775|data_greyscale|multiscale1|30|384|0.0005|0.9184|0.367|76.3|31367|7842|
|2016-12-28 21:27:21.981704|data_greyscale_rotate|LeNet|16|256|0.0001|0.9172|0.344|125|94101|23526|
|2016-12-28 11:37:38.516052|data|LeNet|11|128|0.001|0.9162|0.194|44.7|31367|7842|
|2016-12-28 18:42:48.260766|data_greyscale|multiscale1|23|128|0.0005|0.9156|0.18|71.4|31367|7842|
|2016-12-28 13:38:43.697647|data_yuv_rotate|LeNet_dropout|32|256|0.0001|0.9149|0.321|375|94101|23526|
|2016-12-28 18:32:13.969238|data_greyscale|LeNet|41|384|0.0001|0.9149|0.367|99.2|31367|7842|
|2016-12-28 16:37:20.659239|data_yuv_rotate|inception2|5|384|0.001|0.9148|0.452|306|94101|23526|
|2016-12-28 18:44:45.502514|data_greyscale|multiscale1|40|128|0.0001|0.9142|0.494|117|31367|7842|
|2016-12-28 12:31:38.512634|data|inception2|13|256|0.001|0.9139|0.175|259|31367|7842|
|2016-12-28 11:45:19.019501|data|LeNet|12|384|0.0005|0.9138|0.287|40.4|31367|7842|
|2016-12-28 17:33:16.811970|data_yuv|multiscale1|35|128|0.0001|0.9119|0.324|141|31367|7842|
|2016-12-28 17:53:56.838910|data_yuv|inception2|9|128|0.0001|0.9104|0.458|205|31367|7842|
|2016-12-28 18:46:34.994448|data_greyscale|multiscale1|26|256|0.0005|0.9091|0.288|69.8|31367|7842|
|2016-12-28 18:24:37.462270|data_greyscale|LeNet|5|128|0.001|0.9074|0.221|21.1|31367|7842|
|2016-12-28 18:24:16.281127|data_yuv|inception2|20|384|0.0001|0.9063|0.469|403|31367|7842|
|2016-12-28 12:03:17.002424|data|multiscale1|21|128|0.0005|0.9059|0.239|87.4|31367|7842|
|2016-12-28 21:31:58.409479|data_greyscale_rotate|LeNet|18|384|0.0001|0.9052|0.464|132|94101|23526|
|2016-12-28 18:09:25.854773|data_yuv|inception2|24|256|0.0001|0.9044|0.376|492|31367|7842|
|2016-12-28 11:43:48.247329|data|LeNet|32|256|0.0001|0.9036|0.528|108|31367|7842|
|2016-12-28 16:43:27.513557|data_yuv_rotate|inception2|6|384|0.0005|0.9024|0.256|367|94101|23526|
|2016-12-28 13:53:43.083155|data_yuv_rotate|LeNet_dropout|42|384|0.0001|0.9021|0.316|472|94101|23526|
|2016-12-28 11:48:02.483597|data|LeNet|50|384|0.0001|0.8945|0.485|163|31367|7842|
|2016-12-29 00:48:21.232977|data_greyscale|inception2|16|256|0.001|0.8939|0.683|187|31367|7842|
|2016-12-28 17:38:50.298636|data_yuv|multiscale1|50|256|0.0001|0.8911|0.352|178|31367|7842|
|2016-12-28 17:44:06.101726|data_yuv|multiscale1|50|384|0.0001|0.8822|0.399|176|31367|7842|
|2016-12-28 18:37:11.671455|data_greyscale|LeNet_dropout|16|256|0.0005|0.8813|0.413|46.5|31367|7842|
|2016-12-28 11:56:35.753889|data|LeNet_dropout|19|384|0.001|0.8761|0.459|63.7|31367|7842|
|2016-12-28 17:15:59.152883|data_yuv|LeNet_dropout|14|128|0.0005|0.8754|0.479|60.5|31367|7842|
|2016-12-28 12:19:03.087973|data|inception2|16|128|0.0005|0.8669|0.628|341|31367|7842|
|2016-12-29 06:50:33.017081|data_greyscale_rotate|inception2|6|384|0.0001|0.8669|0.403|224|94101|23526|
|2016-12-28 12:27:19.711832|data|inception2|23|128|0.0001|0.8619|0.386|497|31367|7842|
|2016-12-28 11:55:23.067298|data|LeNet_dropout|29|256|0.0005|0.8571|0.342|99.8|31367|7842|
|2016-12-28 11:58:02.409308|data|LeNet_dropout|26|384|0.0005|0.8562|0.6|86.6|31367|7842|
|2016-12-28 11:49:37.571111|data|LeNet_dropout|15|128|0.0005|0.8539|0.547|64.2|31367|7842|
|2016-12-28 17:19:17.085919|data_yuv|LeNet_dropout|50|128|0.0001|0.8374|0.384|198|31367|7842|
|2016-12-28 11:52:33.629552|data|LeNet_dropout|41|128|0.0001|0.8368|0.567|176|31367|7842|
|2016-12-28 12:12:26.661317|data|multiscale1|35|384|0.0005|0.8338|0.428|115|31367|7842|
|2016-12-29 00:53:17.011916|data_greyscale|inception2|23|256|0.0001|0.8318|0.85|272|31367|7842|
|2016-12-29 01:01:33.005196|data_greyscale|inception2|24|384|0.0001|0.8168|0.693|282|31367|7842|
|2016-12-28 18:35:33.319437|data_greyscale|LeNet_dropout|26|128|0.0001|0.8106|0.712|80.6|31367|7842|
|2016-12-29 00:56:27.839783|data_greyscale|inception2|17|384|0.001|0.7999|0.719|191|31367|7842|
|2016-12-28 11:48:33.295815|data|LeNet_dropout|7|128|0.001|0.7924|0.466|30.8|31367|7842|
|2016-12-28 18:38:27.813515|data_greyscale|LeNet_dropout|28|256|0.0001|0.7159|1.13|76|31367|7842|
|2016-12-29 00:45:14.468639|data_greyscale|inception2|11|128|0.0001|0.6964|1.23|149|31367|7842|
|2016-12-28 12:06:40.165276|data|multiscale1|50|128|0.0001|0.6539|1.32|203|31367|7842|
|2016-12-28 12:00:47.622774|data|LeNet_dropout|50|384|0.0001|0.6285|1.42|165|31367|7842|
|2016-12-28 17:23:43.008050|data_yuv|LeNet_dropout|33|256|0.0001|0.5788|1.28|120|31367|7842|
|2016-12-28 17:28:26.944659|data_yuv|LeNet_dropout|23|384|0.0001|0.5124|1.75|82.9|31367|7842|
|2016-12-29 00:41:57.185647|data_greyscale|inception2|8|128|0.001|0.5106|1.27|109|31367|7842|
|2016-12-28 12:37:53.255845|data|inception2|18|256|0.0001|0.3104|2.49|335|31367|7842|
|2016-12-28 12:47:28.113664|data|inception2|12|384|0.0001|0.2614|2.9|224|31367|7842|
|2016-12-28 12:09:16.587396|data|multiscale1|3|256|0.0001|0.1719|3.88|12.9|31367|7842|
|2016-12-28 12:12:39.406459|data|multiscale1|3|384|0.0001|0.09424|4.67|12.7|31367|7842|
|2016-12-28 11:55:32.029364|data|LeNet_dropout|2|256|0.0001|0.0811|3.82|8.93|31367|7842|
|2016-12-28 18:46:49.376422|data_greyscale|multiscale1|2|256|0.0001|0.07804|5.1|14.2|31367|7842|
|2016-12-28 18:49:11.332260|data_greyscale|multiscale1|5|384|0.0001|0.07116|4.03|20.6|31367|7842|
|2016-12-29 00:42:45.649009|data_greyscale|inception2|4|128|0.0005|0.05981|3.57|48.5|31367|7842|
|2016-12-29 00:56:50.834271|data_greyscale|inception2|2|384|0.0005|0.0584|3.73|23|31367|7842|
|2016-12-28 12:32:18.603075|data|inception2|2|256|0.0005|0.05598|3.7|40|31367|7842|
|2016-12-29 00:48:44.919080|data_greyscale|inception2|2|256|0.0005|0.05598|3.7|23.7|31367|7842|
|2016-12-28 12:43:43.654270|data|inception2|3|384|0.0005|0.05432|3.71|58|31367|7842|
|2016-12-28 18:41:03.776335|data_greyscale|LeNet_dropout|4|384|0.0001|0.05381|3.75|17.8|31367|7842|
|2016-12-28 12:13:22.439741|data|inception2|2|128|0.001|0.05305|3.64|43|31367|7842|
